Date,gold_close,gold_high,gold_low,gold_open,gold_vol,dxy_close,vix_close,yield_close,sp500_close,oil_close,gold_close_pct,dxy_close_pct,vix_close_pct,yield_close_pct,sp500_close_pct,oil_close_pct,gold_close_pct_lag1,gold_close_pct_lag5,gold_close_pct_lag10,dxy_close_pct_lag1,dxy_close_pct_lag5,dxy_close_pct_lag10,vix_close_pct_lag1,vix_close_pct_lag5,vix_close_pct_lag10,yield_close_pct_lag1,yield_close_pct_lag5,yield_close_pct_lag10,sp500_close_pct_lag1,sp500_close_pct_lag5,sp500_close_pct_lag10,oil_close_pct_lag1,oil_close_pct_lag5,oil_close_pct_lag10,gold_rsi,gold_macd,gold_macd_diff,gold_bb_pband,gold_atr,gold_vol_log,return_tomorrow,direction
2015-02-20,1204.4000244140625,1213.0999755859375,1199.0999755859375,1206.5,51,94.25,14.300000190734863,2.132999897003174,2110.300048828125,50.34000015258789,-0.22367253968044176,-0.15889991891343547,-6.474818663100789,0.9465206682851557,0.6126533626735764,-1.6028141072516044,0.616822932003469,0.09023589712366942,-0.1424314573966079,0.21231909141843364,-0.9474697822076328,0.7553985536862928,-1.0355977306624964,-9.551881010229057,-8.074192844497796,2.274924089185637,-0.10060832115605933,1.0016697924000395,-0.10620573331896477,0.9644506431775834,1.0291406686777416,-1.8795541881630573,4.8525776504511065,4.189883895419189,37.96970218230717,-9.346183490398062,-6.626273903208713,0.15390415025799326,18.350539901076452,3.9512437185814275,-0.34041643165294566,0.0
2015-02-23,1200.300048828125,1203.300048828125,1191.5999755859375,1201.300048828125,268,94.56999969482422,14.5600004196167,2.059000015258789,2109.659912109375,49.45000076293945,-0.34041643165294566,0.33952222262516596,1.8181833945029924,-3.4692867003112915,-0.03033391953459752,-1.767976533473814,-0.22367253968044176,0.5245491797497115,-2.22662247115194,-0.15889991891343547,0.11690999535864943,0.0,-6.474818663100789,-4.237291823591893,2.6112790747559567,0.9465206682851557,1.762334725408965,6.776854141166377,0.6126533626735764,0.40747384917307894,-0.34181723141418763,-1.6028141072516044,3.065806918360714,2.39698711459031,36.71281836045199,-10.533131258542653,-6.250577337082643,0.15473120022610137,17.95407625300849,5.594711379601839,-0.2832645401774303,0.0
2015-02-24,1196.9000244140625,1203.5,1193.800048828125,1203.4000244140625,151,94.48999786376952,13.6899995803833,1.9880000352859497,2115.47998046875,49.27999877929688,-0.2832645401774303,-0.08459535932416884,-5.9752803170338264,-3.4482748638501426,0.2758770892866691,-0.3437856036798692,-0.34041643165294566,-1.5002058225896842,0.559204496112975,0.33952222262516596,-0.1486193144203174,-0.2639915607775989,1.8181833945029924,7.556165024223915,7.2874392991018055,-3.4692867003112915,6.135580311555655,0.5159953895898628,-0.03033391953459752,0.15975744623728527,-0.42471943609877494,-1.767976533473814,1.4209928331680555,2.263497803689307,35.65865397575311,-11.614267426061815,-5.865370803681444,0.1636454966762445,17.364495890070383,5.0238805208462765,0.3425495448498017,0.0
2015-02-25,1201.0,1204.5999755859375,1201.0,1204.300048828125,570,94.20999908447266,13.84000015258789,1.968999981880188,2113.860107421875,50.9900016784668,0.3425495448498017,-0.2963263685332618,1.0956944981906913,-0.9557370758813244,-0.07657236475081541,3.4699735014772415,-0.2832645401774303,-0.695308714826226,-0.7414629980774468,-0.08459535932416884,0.1488405201809817,0.3282214907409209,-5.9752803170338264,-2.2151922610416652,-7.1159016124756835,-3.4482748638501426,-3.6829835378916598,2.2073974873520807,0.2758770892866691,-0.03143092177338991,1.0675561019232394,-0.3437856036798692,-2.596673680825934,-5.372682784327731,37.971598013214575,-12.00189152850453,-5.002395924899326,0.21946180651504482,16.674171267342142,6.3473892096560105,0.7160679089040389,1.0
2015-02-26,1209.5999755859375,1219.0,1204.800048828125,1204.800048828125,560,95.29000091552734,13.90999984741211,2.0160000324249268,2110.739990234375,48.16999816894531,0.7160679089040389,1.1463770741429569,0.5057781362172165,2.387001065376282,-0.1476028227480719,-5.530502876434262,0.3425495448498017,0.616822932003469,-1.0230574728570474,-0.2963263685332618,0.21231909141843364,0.24271393241253048,1.0956944981906913,-1.0355977306624964,-1.5670369410156537,-0.9557370758813244,2.274924089185637,-0.15067910075604596,-0.07657236475081541,-0.10620573331896477,-0.002903358867545336,3.4699735014772415,-1.8795541881630573,-2.3590569659673655,42.630233159097685,-11.482773994747731,-3.5866227129140213,0.31227692886323216,16.768873319674846,6.329720905522696,0.24801587802172342,0.0
2015-02-27,1212.5999755859375,1217.800048828125,1204.5,1207.699951171875,195,95.25,13.34000015258789,2.002000093460083,2104.5,49.7599983215332,0.24801587802172342,-0.04197808284502891,-4.0977692385112725,-0.694441405737678,-0.29563045487578377,3.3008100747924596,0.7160679089040389,-0.22367253968044176,0.09023589712366942,1.1463770741429569,-0.15889991891343547,-0.9474697822076328,0.5057781362172165,-6.474818663100789,-9.551881010229057,2.387001065376282,0.9465206682851557,-0.10060832115605933,-0.1476028227480719,0.6126533626735764,0.9644506431775834,-5.530502876434262,-1.6028141072516044,4.8525776504511065,44.20449172107959,-10.705883915653203,-2.2477861070555942,0.3578480870142606,16.521100141707,5.278114659230517,-0.40409240579893924,0.0
2015-03-02,1207.699951171875,1222.699951171875,1204.9000244140625,1214.300048828125,124,95.45999908447266,13.039999961853027,2.0840001106262207,2117.389892578125,49.59000015258789,-0.40409240579893924,0.22047147976131942,-2.2488769662919794,4.095904762142943,0.6124919257840311,-0.34163620313416576,0.24801587802172342,-0.34041643165294566,0.5245491797497115,-0.04197808284502891,0.33952222262516596,0.11690999535864943,-4.0977692385112725,1.8181833945029924,-4.237291823591893,-0.694441405737678,-3.4692867003112915,1.762334725408965,-0.29563045487578377,-0.03033391953459752,0.40747384917307894,3.3008100747924596,-1.767976533473814,3.065806918360714,42.169095618108976,-10.36609011559699,-1.5263938455995039,0.32918938888622756,16.61244490000025,4.8283137373023015,-0.3063634446854757,0.0
2015-03-03,1204.0,1212.0,1195.0,1201.5,51,95.37999725341795,13.859999656677246,2.121999979019165,2107.780029296875,50.52000045776367,-0.3063634446854757,-0.0838066539094684,6.288341236372941,1.8234100948068432,-0.45385421527393,1.875378710050768,-0.40409240579893924,-0.2832645401774303,-1.5002058225896842,0.22047147976131942,-0.08459535932416884,-0.1486193144203174,-2.2488769662919794,-5.9752803170338264,7.556165024223915,4.095904762142943,-3.4482748638501426,6.135580311555655,0.6124919257840311,0.2758770892866691,0.15975744623728527,-0.34163620313416576,-0.3437856036798692,1.4209928331680555,40.64716373045206,-10.276890620823906,-1.1497554806611365,0.3048899736902209,16.640127407143087,3.9512437185814275,-0.282394054324131,0.0
2015-03-04,1200.5999755859375,1206.9000244140625,1198.0,1204.800048828125,27,95.97000122070312,14.229999542236328,2.122999906539917,2098.530029296875,51.52999877929688,-0.282394054324131,0.6185824955704078,2.6695519099874554,0.04712193829587985,-0.438850348301556,1.999204893866935,-0.3063634446854757,0.3425495448498017,-0.695308714826226,-0.0838066539094684,-0.2963263685332618,0.1488405201809817,6.288341236372941,1.0956944981906913,-2.2151922610416652,1.8234100948068432,-0.9557370758813244,-3.6829835378916598,-0.45385421527393,-0.07657236475081541,-0.03143092177338991,1.875378710050768,3.4699735014772415,-2.596673680825934,39.245444884969395,-10.36111643292611,-0.9871850342106718,0.2827721691694362,16.08726290763733,3.332204510175204,-0.391466872184576,0.0
2015-03-05,1195.9000244140625,1205.4000244140625,1195.9000244140625,1201.699951171875,29,96.37999725341795,14.039999961853027,2.111999988555908,2101.0400390625,50.7599983215332,-0.391466872184576,0.4272126992808545,-1.3352044026379573,-0.5181308746233793,0.11960799848387271,-1.4942761032492813,-0.282394054324131,0.7160679089040389,0.616822932003469,0.6185824955704078,1.1463770741429569,0.21231909141843364,2.6695519099874554,0.5057781362172165,-1.0355977306624964,0.04712193829587985,2.387001065376282,2.274924089185637,-0.438850348301556,-0.1476028227480719,-0.10620573331896477,1.999204893866935,-5.530502876434262,-1.8795541881630573,37.32909787328992,-10.68395479591436,-1.0480187177591382,0.2292645817175249,15.616744128520379,3.4011973816621555,-2.6590892364690477,-1.0
