Date,y_actual,prob_up,pred_direction,signal,signal_correct
2024-01-02,0,0.47918096043316866,Down,Sell,1.0
2024-01-03,1,0.4970670914734729,Down,Hold,
2024-01-04,1,0.508016306191747,Down,Hold,
2024-01-05,0,0.5058381584880952,Down,Hold,
2024-01-08,0,0.5244840704350359,Up,Buy,0.0
2024-01-09,0,0.5114900326569618,Up,Hold,
2024-01-10,0,0.5119502019679856,Up,Hold,
2024-01-11,1,0.561627106123416,Up,Buy,1.0
2024-01-12,0,0.4819983022532052,Down,Hold,
2024-01-16,0,0.5024218436301068,Down,Hold,
2024-01-17,1,0.5270808037135679,Up,Buy,1.0
2024-01-18,1,0.49758798419457034,Down,Hold,
2024-01-19,0,0.4848995793066351,Down,Hold,
2024-01-22,1,0.5171796454892742,Up,Hold,
2024-01-23,0,0.4894816051371284,Down,Hold,
2024-01-24,1,0.5181473716625766,Up,Hold,
2024-01-25,0,0.5261048831296089,Up,Buy,0.0
2024-01-26,1,0.49206677050248265,Down,Hold,
2024-01-29,1,0.5087775379038169,Down,Hold,
2024-01-30,1,0.5083888467709908,Down,Hold,
2024-01-31,1,0.5021445127940612,Down,Hold,
2024-02-01,0,0.5025174659736176,Down,Hold,
2024-02-02,0,0.515828787622164,Up,Hold,
2024-02-05,1,0.5259268386906927,Up,Buy,1.0
2024-02-06,1,0.505697875702276,Down,Hold,
2024-02-07,0,0.5147774024178684,Up,Hold,
2024-02-08,0,0.4961014580083396,Down,Hold,
2024-02-09,0,0.5521467794574049,Up,Buy,0.0
2024-02-12,0,0.5454349381090138,Up,Buy,0.0
2024-02-13,0,0.49874531014256895,Down,Hold,
2024-02-14,1,0.5256035803283672,Up,Buy,1.0
2024-02-15,1,0.4872016172843299,Down,Hold,
2024-02-16,1,0.48131062072684455,Down,Hold,
2024-02-20,0,0.5148813344122112,Up,Hold,
2024-02-21,0,0.5103062160121425,Up,Hold,
2024-02-22,1,0.5075974283805637,Down,Hold,
2024-02-23,0,0.4747135488472442,Down,Sell,1.0
2024-02-26,1,0.5439550760559893,Up,Buy,1.0
2024-02-27,0,0.5000704224434704,Down,Hold,
2024-02-28,1,0.48928241814583845,Down,Hold,
2024-02-29,1,0.4921176106780178,Down,Hold,
