Date,target_return
2016-02-12,0.0
2016-02-16,0.2649185451773839
2016-02-17,1.2385434978431809
2016-02-18,0.3507094783253839
2016-02-19,-1.6986365409099702
2016-02-22,1.0582925860376236
2016-02-23,1.3417247556746226
2016-02-24,-0.040364900275247
2016-02-25,-1.4860202769621855
2016-02-26,1.155925153428505
2016-02-29,-0.2917558566097766
2016-03-01,0.877828686433002
2016-03-02,1.3133550196413155
2016-03-03,0.9941148208443052
2016-03-04,-0.5276063558845023
2016-03-07,-0.0870785013027508
2016-03-08,-0.4357816422147165
2016-03-09,1.2255311724705065
2016-03-10,-1.0456013229658057
2016-03-11,-1.1360870193487305
2016-03-14,-1.1250401579341096
2016-03-15,-0.0893998345344093
2016-03-16,0.0
2016-03-17,-0.846180401097274
2016-03-18,-0.7975753398116847
2016-03-21,0.3537467575994713
2016-03-22,-1.9628265469004536
2016-03-23,-0.1879485862208318
2016-03-24,-0.1228098878350403
2016-03-28,1.2869867085555595
2016-03-29,-0.7041074250385471
2016-03-30,0.5949895356224033
2016-03-31,-0.9722897808094988
2016-04-01,-0.3436386303115157
2016-04-04,0.853860789331895
2016-04-05,-0.4803015546077316
2016-04-06,1.1206504026073594
2016-04-07,0.509630244051773
2016-04-08,1.142853213028161
2016-04-11,0.2148542489931459
2016-04-12,-1.0004744593997916
2016-04-13,-1.748479946613335
2016-04-14,0.6612224968112201
2016-04-15,0.0405482126266676
2016-04-18,1.5726349544428198
2016-04-19,0.0159577950419098
2016-04-20,-0.3351381531692232
2016-04-21,-1.6253041495696507
2016-04-22,0.8301516763681072
2016-04-25,0.2663594069564512
2016-04-26,0.5635163641245056
2016-04-27,1.304839054214968
2016-04-28,1.8727736998715991
2016-04-29,0.4266211765677319
2016-05-02,-0.3089518923963363
2016-05-03,-1.348098163942124
2016-05-04,-0.1492204775937256
2016-05-05,1.6910492045891343
2016-05-06,0.0
2016-05-09,-0.1343197854510092
2016-05-10,0.8465820844362648
2016-05-11,-0.3373550007982562
