Date,gold_close,gold_high,gold_low,gold_open,gold_vol,dxy_close,vix_close,yield_close,sp500_close,oil_close
2015-01-02,1186.0,1194.5,1169.5,1184.0,138,91.08000183105467,17.790000915527344,2.122999906539917,2058.199951171875,52.68999862670898
2015-01-05,1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470,91.37999725341795,19.920000076293945,2.0390000343322754,2020.5799560546875,50.040000915527344
2015-01-06,1219.300048828125,1220.0,1203.5,1203.5,97,91.5,21.1200008392334,1.963000059127808,2002.6099853515625,47.93000030517578
2015-01-07,1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29,91.88999938964844,19.309999465942383,1.9539999961853027,2025.9000244140625,48.650001525878906
2015-01-08,1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92,92.37000274658205,17.010000228881836,2.0160000324249268,2062.139892578125,48.790000915527344
2015-01-09,1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43,91.94000244140624,17.549999237060547,1.9709999561309812,2044.81005859375,48.36000061035156
2015-01-12,1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100,91.9800033569336,19.600000381469727,1.9119999408721924,2028.260009765625,46.06999969482422
2015-01-13,1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20,92.30999755859376,20.559999465942383,1.8899999856948853,2023.030029296875,45.88999938964844
2015-01-14,1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21,92.16000366210938,21.479999542236328,1.837000012397766,2011.27001953125,48.47999954223633
2015-01-15,1264.699951171875,1265.0,1227.300048828125,1231.5,130,92.3499984741211,22.38999938964844,1.774999976158142,1992.6700439453125,46.25
2015-01-16,1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44,92.5199966430664,20.950000762939453,1.815000057220459,2019.4200439453125,48.68999862670898
2015-01-20,1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157,93.0500030517578,19.88999938964844,1.807000041007996,2022.550048828125,46.38999938964844
2015-01-21,1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78,92.9000015258789,18.850000381469727,1.8530000448226929,2032.1199951171875,47.77999877929688
2015-01-22,1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131,94.23999786376952,16.399999618530273,1.8960000276565552,2063.14990234375,46.310001373291016
2015-01-23,1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23,95.0,16.65999984741211,1.8170000314712524,2051.820068359375,45.59000015258789
2015-01-26,1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26,94.8000030517578,15.520000457763672,1.8279999494552608,2057.090087890625,45.150001525878906
2015-01-27,1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20,94.0199966430664,17.219999313354492,1.825000047683716,2029.550048828125,46.22999954223633
2015-01-28,1285.9000244140625,1286.800048828125,1285.9000244140625,1285.9000244140625,180387,94.47000122070312,20.440000534057617,1.7239999771118164,2002.1600341796875,44.45000076293945
2015-01-29,1254.5999755859375,1285.4000244140625,1251.0,1283.300048828125,67983,94.77999877929688,18.76000022888184,1.7510000467300415,2021.25,44.52999877929688
2015-01-30,1278.5,1284.300048828125,1257.0,1258.0,8626,94.8000030517578,20.96999931335449,1.6749999523162842,1994.989990234375,48.2400016784668
2015-02-02,1276.199951171875,1284.0999755859375,1266.0,1284.0999755859375,1654,94.5,19.43000030517578,1.6729999780654907,2020.8499755859373,49.56999969482422
2015-02-03,1259.699951171875,1284.699951171875,1255.300048828125,1273.5,2380,93.5999984741211,17.329999923706055,1.7799999713897705,2050.030029296875,53.04999923706055
2015-02-04,1263.800048828125,1271.5999755859375,1256.800048828125,1262.0,668,93.98999786376952,18.32999992370605,1.7970000505447388,2041.510009765625,48.45000076293945
