Date,gold_close,gold_high,gold_low,gold_open,gold_vol,dxy_close,vix_close,yield_close,sp500_close,oil_close,gold_return,sp500_return,gold_vol_30d,abs_return,gold_close_ret,dxy_close_ret,vix_close_ret,yield_close_ret,sp500_close_ret,oil_close_ret
2015-01-02,1186.0,1194.5,1169.5,1184.0,138,91.08000183105467,17.790000915527344,2.122999906539917,2058.199951171875,52.68999862670898,0.0,0.0,18.419270748750478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470,91.37999725341795,19.920000076293945,2.0390000343322754,2020.5799560546875,50.040000915527344,0.015092769320457444,-0.018278105145113743,18.419270748750478,0.015092769320457444,1.5092769320457444,0.3293757315900647,11.973013216134865,-3.9566592513207044,0.0,-5.029413133896588
2015-01-06,1219.300048828125,1220.0,1203.5,1203.5,97,91.5,21.1200008392334,1.963000059127808,2002.6099853515625,47.93000030517578,0.012791780132704655,-0.008893471722946522,18.419270748750478,0.012791780132704655,1.2791780132704655,0.13132277324243713,6.024100192487092,-3.7273160335848377,-0.8893471722946522,-4.216627841221388
2015-01-07,1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29,91.88999938964844,19.309999465942383,1.9539999961853027,2025.9000244140625,48.650001525878906,-0.007135301315331799,0.01162984267174294,18.419270748750478,0.007135301315331799,-0.7135301315331799,0.42622884114582593,-8.570081919356188,-0.45848510806995035,1.162984267174294,1.5021932320442133
2015-01-08,1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92,92.37000274658205,17.010000228881836,2.0160000324249268,2062.139892578125,48.790000915527344,-0.0018172403900885703,0.017888280629516196,18.419270748750478,0.0018172403900885703,-0.18172403900885703,0.5223673524016537,-11.910923359252923,3.1729803664618084,1.7888280629516196,0.28776852057026403
2015-01-09,1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43,91.94000244140624,17.549999237060547,1.9709999561309812,2044.81005859375,48.36000061035156,0.0062892878454074985,-0.008403811034715436,18.419270748750478,0.0062892878454074985,0.6289287845407499,-0.46551942447757844,3.1745973010736783,-2.2321466056633765,-0.8403811034715436,-0.8813287499630618
2015-01-12,1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100,91.9800033569336,19.600000381469727,1.9119999408721924,2028.260009765625,46.06999969482422,0.013733512476870935,-0.008093685160912578,18.419270748750478,0.013733512476870935,1.3733512476870935,0.043507629394334835,11.680918709558497,-2.9934052040571424,-0.8093685160912578,-4.735320278381394
2015-01-13,1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20,92.30999755859376,20.559999465942383,1.8899999856948853,2023.030029296875,45.88999938964844,0.0012980430920994657,-0.0025785552362955766,18.419270748750478,0.0012980430920994657,0.12980430920994657,0.3587673294374705,4.897954417287975,-1.150625306362274,-0.25785552362955766,-0.3907104544565554
2015-01-14,1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21,92.16000366210938,21.479999542236328,1.837000012397766,2011.27001953125,48.47999954223633,8.09977979279175e-05,-0.005813067327385291,18.419270748750478,8.09977979279175e-05,0.00809977979279175,-0.16248932992245502,4.474708658518822,-2.8042314126067613,-0.5813067327385291,0.0
2015-01-15,1264.699951171875,1265.0,1227.300048828125,1231.5,130,92.3499984741211,22.38999938964844,1.774999976158142,1992.6700439453125,46.25,0.024546278482289408,-0.009247875921837956,18.419270748750478,0.024546278482289408,0.0,0.2061575569249241,4.2364984488140855,-3.3750699957098784,-0.9247875921837956,-4.599834082699461
2015-01-16,1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44,92.5199966430664,20.950000762939453,1.815000057220459,2019.4200439453125,48.68999862670898,0.00964661478074924,0.013424199395820402,18.419270748750478,0.00964661478074924,0.9646614780749241,0.1840803159222082,-6.431436650126676,2.2535257239210793,1.3424199395820402,5.275672706397794
2015-01-20,1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157,93.0500030517578,19.88999938964844,1.807000041007996,2022.550048828125,46.38999938964844,0.013548380003948202,0.0015499523698385698,18.419270748750478,0.013548380003948202,1.3548380003948202,0.5728560613075917,-5.059672241951196,-0.4407722292149363,0.15499523698385698,-4.723761145885252
2015-01-21,1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78,92.9000015258789,18.850000381469727,1.8530000448226929,2032.1199951171875,47.77999877929688,-0.0003863390657272703,0.004731623968765364,18.419270748750478,0.0003863390657272703,-0.03863390657272703,-0.16120528851080174,-5.228753343853654,2.5456559364014586,0.4731623968765364,2.9963341408420385
2015-01-22,1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131,94.23999786376952,16.399999618530273,1.8960000276565552,2063.14990234375,46.310001373291016,0.0054108373380235,0.015269721916580492,18.419270748750478,0.0054108373380235,0.54108373380235,0.0,-12.997351264501289,2.320560269494054,1.5269721916580492,-3.0765957378860787
2015-01-23,1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23,95.0,16.65999984741211,1.8170000314712524,2051.820068359375,45.59000015258789,-0.006227397470600193,-0.005491522439307173,18.419270748750478,0.006227397470600193,-0.6227397470600193,0.8064538979819513,1.5853672861556811,-4.1666664046912665,-0.5491522439307173,-1.5547423868537802
2015-01-26,1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26,94.8000030517578,15.520000457763672,1.8279999494552608,2057.090087890625,45.150001525878906,-0.01021193828035738,0.002568460857030219,18.419270748750478,0.01021193828035738,-1.021193828035738,-0.21052310341284075,-6.8427334939352935,0.6053889814796376,0.2568460857030219,-0.965120915192641
2015-01-27,1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20,94.0199966430664,17.219999313354492,1.825000047683716,2029.550048828125,46.22999954223633,0.009613824076207589,-0.013387862410411011,18.419270748750478,0.009613824076207589,0.9613824076207589,-0.8227915438626443,10.953600550574837,-0.164108416547748,-1.338786241041101,2.392022103783087
