iter	RMSE
0	0.009016797833
1	0.008803420465
2	0.008594570796
3	0.008353156317
4	0.00816618782
5	0.007956098607
6	0.007901548919
7	0.007732420207
8	0.007523888455
9	0.007330081433
10	0.007139160631
11	0.006918051373
12	0.006747660928
13	0.006696081433
14	0.006548183788
15	0.006477318451
16	0.006348175673
17	0.006263316957
18	0.006160238681
19	0.006094458381
20	0.005964240137
21	0.005914794506
22	0.00581926794
23	0.005681284766
24	0.005560348754
25	0.005512512841
26	0.005460066523
27	0.005420040928
28	0.005374976459
29	0.005278683025
30	0.005144894748
31	0.005038677227
32	0.004980759066
33	0.004931778686
34	0.004862928159
35	0.004821049106
36	0.004738797844
37	0.004697800248
38	0.004665199725
39	0.004628867884
40	0.004596880778
41	0.004583059122
42	0.004511517717
43	0.004476347355
44	0.004436189733
45	0.004305961763
46	0.00422598264
47	0.004145202489
48	0.004032180712
49	0.003991050853
50	0.003950042995
51	0.003844824316
52	0.003763263533
53	0.003720323919
54	0.003634024402
55	0.003602383397
56	0.003590444934
57	0.003503656305
58	0.003491012609
59	0.003473293798
60	0.003435017783
61	0.003333251568
62	0.003244040719
63	0.00321570241
64	0.003191529046
65	0.003150162262
66	0.003138861085
67	0.003099156757
68	0.003080129459
69	0.003004291134
70	0.002965170298
71	0.002912357015
72	0.002849831135
73	0.002835405657
74	0.002824642392
75	0.002773544718
76	0.00265577516
77	0.002562709498
78	0.002554043164
79	0.002483111476
80	0.002439861906
81	0.002430048602
82	0.002415204948
83	0.002362192433
84	0.002318865388
85	0.002254705396
86	0.002246338328
87	0.002196907861
88	0.002170933152
89	0.002156322628
90	0.002132621231
91	0.002124019509
92	0.002095054555
93	0.002047888376
94	0.002014695715
95	0.001972142961
96	0.001947939689
97	0.001901112012
98	0.001845193253
99	0.001778435572
